Category,Item,on interface,on airtable
Skin,Forehead Wrinkles,1,1
,Crow's Feet Wrinkles,1,1
,Glabella Wrinkles,1,
,Under Eye Wrinkles,1,
,Perioral Wrinkles,1,
,Bunny Lines,,
,Neck Lines,1,
,Dark Spots,,1
,Red Spots,,1
,Scars,,
,Dry Skin,,
,Whiteheads,,
,Blackheads,,
,Crepey Skin,,
,Nasolabial Folds,1,
,Marionette Lines,1,1
Forehead,Temporal Hollow,1,1
,Brow Asymmetry,1,1
,Flat Forehead,1,
,Brow Ptosis,1,
Eyes ,Excess Upper Eyelid Skin,1,
,Under Eye Dark Circles,1,
,Lower Eyelid - Excess Skin,,
,Upper Eyelid Droop,,
,Lower Eyelid Sag,,
,Lower Eyelid Bags,,
,Under Eye Hollow,1,
,Upper Eye Hollow,,
Cheeks ,Mid Cheek Flattening,1,
,Cheekbone - Not Prominent,,
,Heavy Lateral Cheek,,
Nose ,Crooked Nose,,1
,Droopy Tip,,
,Dorsal Hump,,1
,Tip Droop When Smiling,,
Lips ,Thin Lips,1,1
,Lacking Philtral Column,,1
,Long Philtral Column,,1
,Gummy Smile,,
,Asymmetric Lips,,
,Dry Lips,,1
,Lip Thinning When Smiling,,1
Chin,Retruded Chin,,1
,Over-Projected Chin,,
,Asymmetric Chin,,
Lower Cheek ,Jowls,1,
,Lower Cheeks - Volume Depletion,,
Jawline ,Ill-Defined Jawline,1,
,Asymmetric Jawline,,
,Masseter Hypertrophy,,
,Prejowl Sulcus,1,
Neck ,Loose Neck Skin,1,
,Platysmal Bands,,
,Excess/Submental Fullness,1,
