Issue Name,Area Name
Forehead Wrinkles,Skin
Crow's Feet Wrinkles,Skin
Glabella Wrinkles,Skin
Under Eye Wrinkles,Skin
Perioral Wrinkles,Skin
Bunny Lines,Skin
Neck Lines,Skin
Dark Spots,Skin
Red Spots,Skin
Scars,Skin
Dry Skin,Skin
Whiteheads,Skin
Blackheads,Skin
Under Eye Dark Circles,Eyes
Crepey Skin,Skin
Rosacea [DEPRECATED],Skin
Nasolabial Folds,Skin
Marionette Lines,Skin
Temporal Hollow,Forehead
Brow Asymmetry,Forehead
Flat Forehead,Forehead
Brow Ptosis,Forehead
Excess Upper Eyelid Skin,Eyes
Lower Eyelid - Excess Skin,Eyes
Upper Eyelid Droop,Eyes
Lower Eyelid Sag,Eyes
Lower Eyelid Bags,Eyes
Under Eye Hollow,Eyes
Upper Eye Hollow,Eyes
Mid Cheek Flattening,Cheeks
Cheekbone - Not Prominent,Cheeks
Heavy Lateral Cheek,Cheeks
Crooked Nose,Nose
Droopy Tip,Nose
Dorsal Hump,Nose
Tip Droop When Smiling,Nose
Thin Lips,Lips
Lacking Philtral Column,Lips
Long Philtral Column,Lips
Gummy Smile,Lips
Asymmetric Lips,Lips
Dry Lips,Lips
Lip Thinning When Smiling,Lips
Retruded Chin,Jawline
Over-Projected Chin,Jawline
Asymmetric Chin,Jawline
Jowls,Jawline
Lower Cheeks - Volume Depletion,Jawline
Ill-Defined Jawline,Jawline
Asymmetric Jawline,Jawline
Masseter Hypertrophy,Jawline
Prejowl Sulcus,Jawline
Loose Neck Skin,Jawline
Platysmal Bands,Jawline
Excess/Submental Fullness,Jawline
